GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gateway-service,com.medilabo.gatewayservice.config,SecurityConfig,0,102,0,0,0,19,0,6,0,6
gateway-service,com.medilabo.gatewayservice,GatewayServiceApplication,5,105,0,0,2,17,1,11,1,11
