GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
note-service,com.medilabo.noteservice.config,NoteServiceSecurityConfig,0,101,0,0,0,14,0,6,0,6
note-service,com.medilabo.noteservice,NoteServiceApplication,5,3,0,0,2,1,1,1,1,1
note-service,com.medilabo.noteservice.controller,NoteController,0,31,0,2,0,9,0,4,0,3
note-service,com.medilabo.noteservice.service,NoteService,0,22,0,0,0,7,0,4,0,4
note-service,com.medilabo.noteservice.model,Note,4,29,0,0,2,13,1,7,1,7
