GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.medilabo.auth,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
auth-service,com.medilabo.auth.config,SecurityConfig,51,85,0,0,15,23,2,6,2,6
auth-service,com.medilabo.auth.model,AppUser,7,53,0,6,2,13,2,11,2,8
auth-service,com.medilabo.auth.security,JwtIssuer,0,63,0,0,0,20,0,2,0,2
auth-service,com.medilabo.auth.controller,HomeController,0,12,1,3,0,4,1,3,0,2
auth-service,com.medilabo.auth.controller,AuthController,5,51,2,4,2,15,2,5,0,4
auth-service,com.medilabo.auth.service,CustomUserDetailsService,0,33,0,2,0,10,0,3,0,2
auth-service,com.medilabo.auth.service,UserService,0,31,0,2,0,7,0,4,0,3
